String ID,Enum,Chinese_Simplified
0,Admin_ResearchRmd01,尽量存钱来建设研究实验室!未来的发展依靠研究！
1,Transport,运输
2,Accept,接受
3,Per_Day,每天 ${0}
4,Locked,锁定
5,NeedResearch,需要对此进行研究才能建造。
6,Build,建造
7,For,需要 $
8,NotEnoughCash,不够钱
9,BtnBuy,购买
10,BtnDemolish,拆毁
11,BtnTransfer,转移
12,Day,第{0}天
13,BtnBack,回去
14,BtnNext,下一步
15,Cemetary,墓地
16,FieldPicketFenceEnclosure,
17,FieldPicketFenceEnclosureDesc,
18,CorruptedGrassEnclosure,
19,CorruptedGrassEnclosureDesc,
20,CorruptedForestEnclosure,
21,CorruptedForestEnclosureDesc,
22,PerTile,每个瓷砖
23,StructureOverlap,不得重叠现有结构
24,StructureTaller,请设结构更高
25,StructureWider,请设结构更宽
26,StructureLarger,请建立更大的结构
27,StructureTooLarge,太过广大
28,StructureNoMoney,不够金钱
29,NotEnoughMoneyCost,不够钱：价钱 ${0}
30,BuildCemetery,在这建造墓地
31,Collection,收藏
32,SignIn,登录
33,Options,设置 
34,Credits,制作人员名单
35,PhotoMode,照片模式
36,Contact,联络
37,Restore,恢复购买
38,Species,种族: {0}
39,Name,名字: {0}
40,Habitat,栖息地: {0}
41,DailyIncome,每日收入
42,ResearchLabDesc,研究一直都在发生...建造的研究设施越多，我们发现东西的速度越快！
43,ResearchComplete,~所有在此类别中的研究完成了。
44,WaitingResearch,等待新的研究科目。
45,WrongHabitat,错的栖息地 - 转移到
46,Money,金钱
47,Analogue,摇杆 - 模拟
48,Digital,摇杆 - 数字
49,Off,摇杆 - 关
50,AnalogueOnly,只使用模拟摇杆
51,DigitalOnly,只使用数字摇杆
52,MusicVolume,音乐音量
53,SFXVolume,音效音量
54,FlashingOff,闪烁效果 - 关
55,FlashingOn,闪烁效果 - 开
56,BtnResearch,研究
57,BtnResume,继续
58,BtnQuit,退出
59,Remaining,剩下
60,BtnPlay,玩
61,QuitToMain,退出到主菜单
62,Paused,暂停
63,Max,最大值
64,Cost,费用
65,Confirm,确认
66,Cancel,取消
67,Claim,领取
68,Full,满
69,NoSpace,没有空位
70,Use,使用
71,Complete,完成
72,LinkAccount,在登录区域中关联你的帐户来解锁新外星人。
73,Purchase01,请稍等一下，我们正在联系购买历史学家...
74,Purchase02,无法恢复购买历史记录，请再重试
75,Purchase03,我们的历史学家费了太多时间，请稍后再试
76,Purchase04,档案已经恢复！
77,Any,任何
78,LanguageSetting,语言
79,Yes,是
80,No,不是
81,Skip,跳过 
82,Store,商店
83,BuildKR,Build {0} for ${1}
84,Progress,总结
85,CurrentIncome,目前收入： ${0} 
86,Reset,重启
87,GrassEnclosure,
88,GrassEnclosureDesc,
89,ForestEnclosure,
90,ForestEnclosureDesc,
91,SavannahEnclosure,
92,SavannahEnclosureDesc,
93,DesertEnclosure,
94,DesertEnclosureDesc,
95,MountainEnclosure,
96,MountainEnclosureDesc,
97,ArcticEnclosure,
98,ArcticEnclosureDesc,
99,TropicalEnclosure,
100,TropicalEnclosureDesc,
101,SmallGiftShop,
102,SmallGiftShopDesc,
103,LionHotDogShop,
104,LionHotDogShopDesc,
105,ElephantGiftShop,
106,ElephantGiftShopDesc,
107,SignboardFront,
108,SignboardFrontDesc,
109,Lamppost,
110,LamppostDesc,
111,WhiteDustbin,
112,WhiteDustbinDesc,
113,GreenDustbin,
114,GreenDustbinDesc,
115,DrinksVendingMachine,
116,DrinksVendingMachineDesc,
117,SnacksVendingMachine,
118,SnacksVendingMachineDesc,
119,PlantPot,
120,PlantPotDesc,
121,RedFlag,
122,RedFlagDesc,
123,RoundFountain,
124,RoundFountainDesc,
125,IceCreamTruck,
126,IceCreamTruckDesc,
127,BigIceCreamShop,
128,BigIceCreamShopDesc,
129,CoconutShop,
130,CoconutShopDesc,
131,PandaBurgerShop,
132,PandaBurgerShopDesc,
133,BalloonShop,
134,BalloonShopDesc,
135,FlowerPatch,
136,FlowerPatchDesc,
137,DangerSign,
138,DangerSignDesc,
139,SmallDesertRockDeco,
140,SmallDesertRockDecoDesc,
141,DesertRockDeco,
142,DesertRockDecoDesc,
143,DesertCactusDeco,
144,DesertCactusDecoDesc,
145,KangarooPizzaShop,
146,KangarooPizzaShopDesc,
147,CottonCandyShop,
148,CottonCandyShopDesc,
149,SlushieShop,
150,SlushieShopDesc,
151,ChurroShop,
152,ChurroShopDesc,
153,WoodenToliet,
154,WoodenTolietDesc,
155,SnakeHuggingBooth,
156,SnakeHuggingBoothDesc,
157,TreeExhibit,
158,TreeExhibitDesc,
159,InfoBooth,
160,InfoBoothDesc,
161,BusStop,
162,BusStopDesc,
163,BarSignboardDesc,
164,Umbrella,
165,UmbrellaDesc,
166,BigTree,
167,BigTreeDesc,
168,TikiShelter,
169,TikiShelterDesc,
170,ZooMap,
171,ZooMapDesc,
172,BrownBench,
173,BrownBenchDesc,
174,WhiteBench,
175,WhiteBenchDesc,
176,NoSwimmingSign,
177,NoSwimmingSignDesc,
178,PottedPlantDesc,
179,ThickSignboardDesc,
180,ElephantFountain,
181,ElephantFountainDesc,
182,FloorLight,
183,FloorLightDesc,
184,RustyKegShop,
185,RustyKegShopDesc,
186,PopcornWeaselShop,
187,PopcornWeaselShopDesc,
188,Nursery,
189,NurseryDesc,
190,QuarantineOffice,
