String ID,Enum,Chinese_Traditional
0,Admin_ResearchRmd01,盡量存錢來建設研究實驗室！未來的發展依靠研究！
1,Transport,運輸
2,Accept,接受
3,Per_Day,每天 ${0}
4,Locked,鎖定
5,NeedResearch,需要對此進行研究才能建造。
6,Build,建造
7,For,需要$
8,NotEnoughCash,不夠錢
9,BtnBuy,購買
10,BtnDemolish,拆毀
11,BtnTransfer,轉移
12,Day,第 {0} 天
13,BtnBack,回去
14,BtnNext,下一步
15,Cemetary,墓地
16,FieldPicketFenceEnclosure,
17,FieldPicketFenceEnclosureDesc,
18,CorruptedGrassEnclosure,
19,CorruptedGrassEnclosureDesc,
20,CorruptedForestEnclosure,
21,CorruptedForestEnclosureDesc,
22,PerTile,每個瓷磚
23,StructureOverlap,不得重疊現有結構
24,StructureTaller,請設結構更高
25,StructureWider,請設結構更寬
26,StructureLarger,請建立更大的結構
27,StructureTooLarge,太過廣大
28,StructureNoMoney,不夠金錢
29,NotEnoughMoneyCost,不夠錢：價錢 ${0}
30,BuildCemetery,在這建造墓地
31,Collection,收藏
32,SignIn,登錄
33,Options,設置
34,Credits,製作人員名單
35,PhotoMode,照片模式
36,Contact,聯絡
37,Restore,恢復購買
38,Species,種族: {0}
39,Name,名字: {0}
40,Habitat,棲息地: {0}
41,DailyIncome,每日收入
42,ResearchLabDesc,研究一直都在發生...建造的研究設施越多，我們發現東西的速度越快！
43,ResearchComplete,~所有在此類別中的研究完成了。
44,WaitingResearch,等待新的研究科目。
45,WrongHabitat,錯的棲息地 - 轉移到
46,Money,金錢
47,Analogue,搖桿 - 模擬
48,Digital,搖桿 - 數字
49,Off,搖桿 - 關
50,AnalogueOnly,只使用模擬搖桿
51,DigitalOnly,只使用數字搖桿
52,MusicVolume,音樂音量
53,SFXVolume,音效音量
54,FlashingOff,閃爍效果 - 關
55,FlashingOn,閃爍效果 - 開
56,BtnResearch,研究
57,BtnResume,繼續
58,BtnQuit,退出
59,Remaining,剩下
60,BtnPlay,玩 
61,QuitToMain,退出到主菜單
62,Paused,暫停
63,Max,最大值
64,Cost,費用
65,Confirm,確認
66,Cancel,取消
67,Claim,領取
68,Full,滿
69,NoSpace,沒有空位
70,Use,使用
71,Complete,完成
72,LinkAccount,在登錄區域中關聯你的帳戶來解鎖新外星人。
73,Purchase01,請稍等一下，我們正在聯繫購買歷史學家...
74,Purchase02,無法恢復購買歷史記錄，請再重試
